C1,C2
0.000,9.559
1.000,9.617
2.000,10.109
3.000,10.752
4.000,11.061
5.000,12.123
6.000,13.266
7.000,13.588
8.000,14.566
9.000,15.215
10.000,16.191
11.000,17.104
12.000,16.096
13.000,17.066
14.000,18.744
15.000,19.686
16.000,22.285
17.000,25.576
18.000,27.826
19.000,25.754
20.000,25.842
21.000,31.535
22.000,30.809
23.000,31.770
24.000,36.670
25.000,48.275
26.000,52.223
27.000,54.271
28.000,57.486
29.000,55.318
30.000,50.914
31.000,51.283
32.000,46.832
33.000,45.725
34.000,43.400
35.000,41.947
36.000,39.934
37.000,38.762
38.000,36.463
39.000,38.066
40.000,34.416
41.000,34.709
42.000,38.186
43.000,40.254
44.000,40.197
45.000,43.582
46.000,43.061
47.000,42.646
48.000,41.518
49.000,42.035
50.000,42.350
51.000,40.107
52.000,40.189
53.000,41.393
54.000,51.785
55.000,44.773
56.000,49.459
57.000,48.348
58.000,44.453
59.000,55.340
60.000,39.574
61.000,43.178
62.000,47.660
63.000,47.828
64.000,48.537
65.000,50.152
66.000,51.494
67.000,52.115
68.000,53.541
69.000,55.365
70.000,57.189
71.000,58.869
72.000,59.719
73.000,59.408
74.000,58.051
75.000,56.547
76.000,54.836
77.000,52.803
78.000,49.385
79.000,46.410
80.000,44.617
81.000,43.389
82.000,41.430
83.000,38.283
84.000,35.459
85.000,33.209
86.000,30.484
87.000,28.912
88.000,27.588
89.000,26.879
90.000,25.789
91.000,24.947
92.000,23.957
93.000,22.590
94.000,21.326
95.000,20.295
96.000,19.203
97.000,18.619
98.000,18.154
99.000,17.686
100.000,16.982
101.000,16.475
102.000,15.684
103.000,15.660
104.000,15.330
105.000,15.145
106.000,15.043
107.000,14.678
108.000,14.262
109.000,14.045
110.000,13.910
111.000,14.033
112.000,14.264
113.000,14.449
114.000,14.402
115.000,14.693
116.000,14.764
117.000,14.293
118.000,14.574
119.000,14.635
120.000,14.439
121.000,14.836
122.000,15.254
123.000,15.889
124.000,17.031
125.000,18.293
126.000,19.584
127.000,20.820
128.000,22.092
129.000,23.811
130.000,25.383
131.000,25.414
132.000,26.268
133.000,27.547
134.000,29.160
135.000,31.357
136.000,32.635
137.000,33.559
138.000,31.525
139.000,31.275
140.000,32.242
141.000,29.766
142.000,26.664
143.000,29.756
144.000,32.340
145.000,27.535
146.000,25.186
147.000,28.096
148.000,29.482
149.000,36.309
150.000,35.135
151.000,28.422
152.000,23.365
153.000,24.430
154.000,29.115
155.000,24.967
156.000,21.445
157.000,21.475
158.000,27.949
159.000,29.494
160.000,30.994
161.000,30.131
162.000,23.377
163.000,21.027
164.000,20.523
165.000,22.254
166.000,18.893
167.000,18.910
168.000,18.156
169.000,18.053
170.000,17.639
171.000,15.379
172.000,14.561
173.000,13.469
174.000,12.354
175.000,11.611
176.000,10.934
177.000,10.521
178.000,10.232
179.000,9.807
180.000,9.418
181.000,9.289
182.000,9.654
183.000,9.814
184.000,9.965
185.000,10.703
186.000,11.682
187.000,12.320
188.000,13.244
189.000,14.367
190.000,15.545
191.000,17.871
192.000,20.021
193.000,23.176
194.000,27.160
195.000,31.324
196.000,34.912
197.000,37.609
198.000,38.598
199.000,39.389
200.000,40.609
201.000,40.939
202.000,40.645
203.000,39.164
204.000,37.078
205.000,34.400
206.000,31.229
207.000,27.795
208.000,24.744
209.000,22.902
210.000,20.881
211.000,19.607
212.000,18.914
213.000,17.764
214.000,16.064
215.000,15.277
216.000,16.105
217.000,16.289
218.000,15.865
219.000,15.436
220.000,14.539
221.000,14.055
222.000,13.049
223.000,12.299
224.000,12.055
225.000,12.432
226.000,12.717
227.000,12.637
228.000,13.041
229.000,13.375
230.000,13.912
231.000,14.609
232.000,16.180
233.000,17.799
234.000,19.232
235.000,20.041
236.000,20.721
237.000,21.004
238.000,21.465
239.000,22.111
240.000,22.936
241.000,25.072
242.000,26.471
243.000,27.648
244.000,29.961
245.000,30.100
246.000,31.160
247.000,32.779
248.000,32.381
249.000,32.928
250.000,34.494
251.000,33.555
252.000,30.094
253.000,28.066
254.000,30.188
255.000,34.205
256.000,35.699
257.000,36.037
258.000,38.824
259.000,44.631
260.000,45.723
261.000,45.025
262.000,43.820
263.000,41.734
264.000,42.074
265.000,39.600
266.000,36.912
267.000,36.924
268.000,34.184
269.000,31.436
270.000,28.170
271.000,25.465
272.000,25.408
273.000,22.539
274.000,20.881
275.000,21.652
276.000,21.168
277.000,23.453
278.000,24.662
279.000,23.713
280.000,28.338
281.000,23.438
282.000,27.779
283.000,22.686
284.000,25.305
285.000,23.414
286.000,22.793
287.000,22.404
288.000,21.664
289.000,22.836
290.000,18.578
291.000,20.533
292.000,19.621
293.000,18.701
294.000,13.580
295.000,11.885
296.000,10.824
297.000,12.930
298.000,11.535
299.000,11.553
300.000,13.768
301.000,11.943
302.000,11.479
303.000,11.902
304.000,11.174
305.000,9.982
306.000,9.930
307.000,10.826
308.000,11.109
309.000,10.271
310.000,11.330
311.000,12.291
312.000,12.436
313.000,13.625
314.000,14.658
315.000,15.430
316.000,15.359
317.000,16.688
318.000,17.014
319.000,18.035
320.000,18.957
321.000,19.967
322.000,20.820
323.000,23.543
324.000,24.883
325.000,26.768
326.000,30.355
327.000,31.936
328.000,33.404
329.000,37.309
330.000,38.957
331.000,38.783
332.000,39.207
333.000,40.820
334.000,42.740
335.000,44.734
336.000,48.410
337.000,51.758
338.000,54.658
339.000,58.227
340.000,62.678
341.000,65.369
342.000,62.812
343.000,56.264
344.000,48.045
345.000,41.783
346.000,31.225
347.000,25.004
348.000,22.570
349.000,18.982
350.000,16.150
351.000,15.127
352.000,14.076
353.000,12.570
354.000,12.195
355.000,13.453
356.000,13.037
357.000,10.855
358.000,10.447
359.000,9.980
